nome,bruto,processado
encode-thoughts,"
Encode Thoughts







Source: Guildmaster's Guide to Ravnica
Enchantment cantrip
Casting Time: 1 action
Range: Self
Components: S
Duration: 8 hours
You pull a memory, an idea, or a message from your mind and transform it into a tangible string of glowing energy called a thought strand, which persists for the duration or until you cast this spell again. The thought strand appears in an unoccupied space within 5 feet of you as a Tiny, weightless, semisolid object that can be held and carried like a ribbon. It is otherwise stationary.
If you cast this spell while concentrating on a spell or an ability that allows you to read or manipulate the thoughts of others (such as detect thoughts or modify memory), you can transform the thoughts or memories you read, rather than your own, into a thought strand.
Casting this spell while holding a thought strand allows you to instantly receive whatever memory, idea, or message the thought strand contains. (Casting detect thoughts on the strand has the same effect.)
Spell Lists. Wizard












","['encode', 'thoughts', 'source', 'guildmasters', 'guide', 'ravnica', 'enchantment', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'self', 'components', 'duration', '8', 'hours', 'pull', 'memory', 'idea', 'message', 'mind', 'transform', 'tangible', 'string', 'glowing', 'energy', 'called', 'thought', 'strand', 'persists', 'duration', 'cast', 'spell', 'thought', 'strand', 'appears', 'unoccupied', 'space', 'within', '5', 'feet', 'tiny', 'weightless', 'semisolid', 'object', 'held', 'carried', 'like', 'ribbon', 'otherwise', 'stationary', 'cast', 'spell', 'concentrating', 'spell', 'ability', 'allows', 'read', 'manipulate', 'thoughts', 'others', 'detect', 'thoughts', 'modify', 'memory', 'transform', 'thoughts', 'memories', 'read', 'rather', 'thought', 'strand', 'casting', 'spell', 'holding', 'thought', 'strand', 'allows', 'instantly', 'receive', 'whatever', 'memory', 'idea', 'message', 'thought', 'strand', 'contains', 'casting', 'detect', 'thoughts', 'strand', 'effect', 'spell', 'lists', 'wizard']"
fire-bolt,"
Fire Bolt







Source: Player's Handbook
Evocation cantrip
Casting Time: 1 action
Range: 120 feet
Components: V, S
Duration: Instantaneous
You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn’t being worn or carried.
At Higher Levels. This spell’s damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).
Spell Lists. Artificer, Sorcerer, Wizard












","['fire', 'bolt', 'source', 'players', 'handbook', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '120', 'feet', 'components', 'v', 'duration', 'instantaneous', 'hurl', 'mote', 'fire', 'creature', 'object', 'within', 'range', 'make', 'ranged', 'spell', 'attack', 'target', 'hit', 'target', 'takes', '1d10', 'fire', 'damage', 'flammable', 'object', 'hit', 'spell', 'ignites', 'isn’t', 'worn', 'carried', 'higher', 'levels', 'spell’s', 'damage', 'increases', '1d10', 'reach', '5th', 'level', '2d10', '11th', 'level', '3d10', '17th', 'level', '4d10', 'spell', 'lists', 'artificer', 'sorcerer', 'wizard']"
friends,"
Friends







Source: Player's Handbook
Enchantment cantrip
Casting Time: 1 action
Range: Self
Components: S, M (a small amount of makeup applied to the face as this spell is cast)
Duration: Concentration, up to 1 minute
For the duration, you have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion), depending on the nature of your interaction with it.
Spell Lists. Bard, Sorcerer, Warlock, Wizard












","['friends', 'source', 'players', 'handbook', 'enchantment', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'self', 'components', 'small', 'amount', 'makeup', 'applied', 'face', 'spell', 'cast', 'duration', 'concentration', '1', 'minute', 'duration', 'advantage', 'charisma', 'checks', 'directed', 'one', 'creature', 'choice', 'isnt', 'hostile', 'toward', 'spell', 'ends', 'creature', 'realizes', 'used', 'magic', 'influence', 'mood', 'becomes', 'hostile', 'toward', 'creature', 'prone', 'violence', 'might', 'attack', 'another', 'creature', 'might', 'seek', 'retribution', 'ways', 'dms', 'discretion', 'depending', 'nature', 'interaction', 'spell', 'lists', 'bard', 'sorcerer', 'warlock', 'wizard']"
frostbite,"
Frostbite







Source: Xanathar's Guide to Everything
Evocation cantrip
Casting Time: 1 action
Range: 60 feet
Components: V, S
Duration: Instantaneous
You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.
At Higher Levels. The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
Spell Lists. Druid, Sorcerer, Warlock, Wizard, Artificer












","['frostbite', 'source', 'xanathars', 'guide', 'everything', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '60', 'feet', 'components', 'v', 'duration', 'instantaneous', 'cause', 'numbing', 'frost', 'form', 'one', 'creature', 'see', 'within', 'range', 'target', 'must', 'make', 'constitution', 'saving', 'throw', 'failed', 'save', 'target', 'takes', '1d6', 'cold', 'damage', 'disadvantage', 'next', 'weapon', 'attack', 'roll', 'makes', 'end', 'next', 'turn', 'higher', 'levels', 'spell’s', 'damage', 'increases', '1d6', 'reach', '5th', 'level', '2d6', '11th', 'level', '3d6', '17th', 'level', '4d6', 'spell', 'lists', 'druid', 'sorcerer', 'warlock', 'wizard', 'artificer']"
green-flame-blade,"
Green-Flame Blade







Source: Tasha's Cauldron of Everything/Sword Coast Adventurer's Guide
Evocation cantrip
Casting Time: 1 action
Range: Self (5-foot radius)
Components: S, M (a melee weapon worth at least 1 sp)
Duration: Instantaneous
You brandish the weapon used in the spell’s casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack’s normal effects, and you can cause green fire to leap from the target to a different creature of your choice that you can see within 5 feet of it. The second creature takes fire damage equal to your spellcasting ability modifier.
At Higher Levels. At 5th level, the melee attack deals an extra 1d8 fire damage to the target on a hit, and the fire damage to the second creature increases to 1d8 + your spellcasting ability modifier. Both damage rolls increase by 1d8 at 11th level (2d8 and 2d8) and 17th level (3d8 and 3d8).
Spell Lists. Artificer, Sorcerer (Optional), Warlock (Optional), Wizard (Optional)












","['greenflame', 'blade', 'source', 'tashas', 'cauldron', 'everythingsword', 'coast', 'adventurers', 'guide', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'self', '5foot', 'radius', 'components', 'melee', 'weapon', 'worth', 'least', '1', 'sp', 'duration', 'instantaneous', 'brandish', 'weapon', 'used', 'spell’s', 'casting', 'make', 'melee', 'attack', 'one', 'creature', 'within', '5', 'feet', 'hit', 'target', 'suffers', 'weapon', 'attack’s', 'normal', 'effects', 'cause', 'green', 'fire', 'leap', 'target', 'different', 'creature', 'choice', 'see', 'within', '5', 'feet', 'second', 'creature', 'takes', 'fire', 'damage', 'equal', 'spellcasting', 'ability', 'modifier', 'higher', 'levels', '5th', 'level', 'melee', 'attack', 'deals', 'extra', '1d8', 'fire', 'damage', 'target', 'hit', 'fire', 'damage', 'second', 'creature', 'increases', '1d8', 'spellcasting', 'ability', 'modifier', 'damage', 'rolls', 'increase', '1d8', '11th', 'level', '2d8', '2d8', '17th', 'level', '3d8', '3d8', 'spell', 'lists', 'artificer', 'sorcerer', 'optional', 'warlock', 'optional', 'wizard', 'optional']"
guidance,"
Guidance







Source: Player's Handbook
Divination cantrip
Casting Time: 1 action
Range: Touch
Components: V, S
Duration: Concentration, up to 1 minute
You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.
Spell Lists. Artificer, Cleric, Druid












","['guidance', 'source', 'players', 'handbook', 'divination', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'touch', 'components', 'v', 'duration', 'concentration', '1', 'minute', 'touch', 'one', 'willing', 'creature', 'spell', 'ends', 'target', 'roll', 'd4', 'add', 'number', 'rolled', 'one', 'ability', 'check', 'choice', 'roll', 'die', 'making', 'ability', 'check', 'spell', 'ends', 'spell', 'lists', 'artificer', 'cleric', 'druid']"
gust,"
Gust







Source: Xanathar's Guide to Everything
Transmutation cantrip
Casting Time: 1 action
Range: 30 feet
Components: V, S
Duration: Instantaneous
You seize the air and compel it to create one of the following effects at a point you can see within range:

One Medium or smaller creature that you choose must succeed on a Strength saving throw or be pushed up to 5 feet away from you.


You create a small blast of air capable of moving one object that is neither held nor carried and that weighs no more than 5 pounds. The object is pushed up to 10 feet away from you. It isn’t pushed with enough force to cause damage.


You create a harmless sensory affect using air, such as causing leaves to rustle, wind to slam shutters shut, or your clothing to ripple in a breeze.

Spell Lists. Druid, Sorcerer, Wizard












","['gust', 'source', 'xanathars', 'guide', 'everything', 'transmutation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '30', 'feet', 'components', 'v', 'duration', 'instantaneous', 'seize', 'air', 'compel', 'create', 'one', 'following', 'effects', 'point', 'see', 'within', 'range', 'one', 'medium', 'smaller', 'creature', 'choose', 'must', 'succeed', 'strength', 'saving', 'throw', 'pushed', '5', 'feet', 'away', 'create', 'small', 'blast', 'air', 'capable', 'moving', 'one', 'object', 'neither', 'held', 'carried', 'weighs', '5', 'pounds', 'object', 'pushed', '10', 'feet', 'away', 'isn’t', 'pushed', 'enough', 'force', 'cause', 'damage', 'create', 'harmless', 'sensory', 'affect', 'using', 'air', 'causing', 'leaves', 'rustle', 'wind', 'slam', 'shutters', 'shut', 'clothing', 'ripple', 'breeze', 'spell', 'lists', 'druid', 'sorcerer', 'wizard']"
hand-of-radiance,"
Hand of Radiance (UA)







Source: Unearthed Arcana 36 - Starter Spells
Evocation cantrip
Casting Time: 1 action
Range: 5 feet
Components: V, S
Duration: Instantaneous
You raise your hand, and burning radiance erupts from it. Each creature of your choice that you can see within 5 feet of you must succeed on a Constitution saving throw or take 1d6 radiant damage.
At Higher Levels: The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
Spell Lists: Cleric












","['hand', 'radiance', 'ua', 'source', 'unearthed', 'arcana', '36', 'starter', 'spells', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '5', 'feet', 'components', 'v', 'duration', 'instantaneous', 'raise', 'hand', 'burning', 'radiance', 'erupts', 'creature', 'choice', 'see', 'within', '5', 'feet', 'must', 'succeed', 'constitution', 'saving', 'throw', 'take', '1d6', 'radiant', 'damage', 'higher', 'levels', 'spells', 'damage', 'increases', '1d6', 'reach', '5th', 'level', '2d6', '11th', 'level', '3d6', '17th', 'level', '4d6', 'spell', 'lists', 'cleric']"
infestation,"
Infestation







Source: Xanathar's Guide to Everything
Conjuration cantrip
Casting Time: 1 action
Range: 30 feet
Components: V, S, M (a living flea)
Duration: Instantaneous
You cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. The target must succeed on a Constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. Roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. This movement doesn’t provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move.
At Higher Levels. The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
Spell Lists. Druid, Sorcerer, Warlock, Wizard












","['infestation', 'source', 'xanathars', 'guide', 'everything', 'conjuration', 'cantrip', 'casting', 'time', '1', 'action', 'range', '30', 'feet', 'components', 'v', 'living', 'flea', 'duration', 'instantaneous', 'cause', 'cloud', 'mites', 'fleas', 'parasites', 'appear', 'momentarily', 'one', 'creature', 'see', 'within', 'range', 'target', 'must', 'succeed', 'constitution', 'saving', 'throw', 'takes', '1d6', 'poison', 'damage', 'moves', '5', 'feet', 'random', 'direction', 'move', 'speed', 'least', '5', 'feet', 'roll', 'd4', 'direction', '1', 'north', '2', 'south', '3', 'east', '4', 'west', 'movement', 'doesn’t', 'provoke', 'opportunity', 'attacks', 'direction', 'rolled', 'blocked', 'target', 'doesnt', 'move', 'higher', 'levels', 'spell’s', 'damage', 'increases', '1d6', 'reach', '5th', 'level', '2d6', '11th', 'level', '3d6', '17th', 'level', '4d6', 'spell', 'lists', 'druid', 'sorcerer', 'warlock', 'wizard']"
light,"
Light







Source: Player's Handbook
Evocation cantrip
Casting Time: 1 action
Range: Touch
Components: V, M (a firefly or phosphorescent moss)
Duration: 1 hour
You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action.
If you target an object held or worn by a hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell.
Spell Lists. Artificer, Bard, Cleric, Sorcerer, Wizard












","['light', 'source', 'players', 'handbook', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'touch', 'components', 'v', 'firefly', 'phosphorescent', 'moss', 'duration', '1', 'hour', 'touch', 'one', 'object', 'larger', '10', 'feet', 'dimension', 'spell', 'ends', 'object', 'sheds', 'bright', 'light', '20foot', 'radius', 'dim', 'light', 'additional', '20', 'feet', 'light', 'colored', 'like', 'completely', 'covering', 'object', 'something', 'opaque', 'blocks', 'light', 'spell', 'ends', 'cast', 'dismiss', 'action', 'target', 'object', 'held', 'worn', 'hostile', 'creature', 'creature', 'must', 'succeed', 'dexterity', 'saving', 'throw', 'avoid', 'spell', 'spell', 'lists', 'artificer', 'bard', 'cleric', 'sorcerer', 'wizard']"
